Academic Year,Districts,Junior Colleges,Degree Colleges,Degree Colleges Seats,Engineering Colleges,Engineering Colleges Seats,Pharmacy Colleges,Pharmacy Colleges Seats,MBA Colleges,MBA Colleges Seats,MCA Colleges,MCA Colleges Seats,B.Ed. Colleges,B.Ed. Colleges Seats,Law Colleges,Law Colleges Seats
2018-19,Hyderabad,,139,50264,19,9150,17,1850,55,6525,15,1000,18,2000,14,3480
2018-19,Ranga Reddy,,94,29015,50,26050,25,2000,72,7905,2,120,32,1664,1,120
2018-19,Medchal-Malkajigiri,,72,22800,49,31006,17,1650,66,8760,12,720,8,2934,0,0
2018-19,Vikarabad,,17,6985,0,0,3,250,1,60,0,0,0,0,0,0
2018-19,Medak,,23,7420,1,1170,9,800,4,210,0,0,5,144,1,120
2018-19,Sangareddy,,29,12310,6,950,1,100,4,300,0,0,3,54,0,0
2018-19,Siddipet,,31,15510,2,840,6,600,4,300,1,60,1,30,0,0
2018-19,Jayashankar,,18,6212,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Jangaon,,19,6220,1,420,4,250,0,0,0,0,0,0,0,0
2018-19,Mahabubabad,,25,8820,0,0,3,150,0,0,0,0,0,0,0,0
2018-19,Warangal Rural,,18,7441,4,1680,10,550,6,420,0,0,11,144,0,0
2018-19,Warangal Urban,,43,23481,13,6000,7,500,23,2700,6,496,16,793,2,580
2018-19,Bhadradri-Kothagudem,,24,10790,4,1095,5,250,4,300,0,0,1,15,0,0
2018-19,Khammam,,52,22950,10,3030,12,750,15,1320,0,0,9,36,1,180
2018-19,Adilabad,,45,14350,0,0,3,250,0,0,0,0,0,0,0,0
2018-19,Komaram Bheem Asifabad,,9,2400,0,0,2,200,0,0,0,0,0,0,0,0
2018-19,Mancherial,,27,10480,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Nirmal,,12,5450,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Kamareddy,,22,10980,1,42,5,400,0,0,0,0,0,0,0,0
2018-19,Nizamabad,,47,18792,5,1254,10,950,6,450,1,90,1,30,1,50
2018-19,Nalgonda,,45,17457,4,870,23,2050,7,480,1,60,4,120,1,120
2018-19,Suryapet,,32,12430,7,2940,7,550,4,330,0,0,8,354,0,0
2018-19,Yadadri Bhuvanagiri,,22,6830,10,4140,5,350,13,1410,0,0,7,303,0,0
2018-19,Jogulamba Gadwal,,12,4925,0,0,2,200,0,0,0,0,1,6,0,0
2018-19,Mahabubnagar,,21,11240,2,630,14,1100,4,240,0,0,3,63,0,0
2018-19,Nagarkurnool,,22,8120,0,0,5,500,1,60,0,0,0,0,0,0
2018-19,Wanaparthy,,16,6110,0,0,5,450,1,120,0,0,0,0,0,0
2018-19,Jagtial,,29,9710,1,300,2,200,0,0,0,0,0,0,0,0
2018-19,Karimnagar,,35,19560,9,3842,17,1550,16,2100,3,240,1,180,1,180
2018-19,Peddapalli,,21,7880,4,1110,3,300,5,600,0,0,0,0,0,0
2018-19,Rajanna Sircilla,,20,6070,0,0,2,200,0,0,0,0,0,0,0,0
