Districts,Primary Schools,Primary Schools Enrollment,Upper Primary Schools,Upper Primary Schools Enrollment,High Schools,High Schools Enrollment,Higher Secondary Schools,Higher Secondary Schools Enrollment,Total Schools,Total Enrollment
Jayashankar,329,12513,76,6309,119,22327,18,7036,542,48185
Mulugu,374,11927,68,4827,101,19095,13,5114,556,40963
Jogulamba Gadwal,291,28934,153,22962,162,57010,14,6593,620,115499
Jangaon,353,16862,92,7903,172,35932,26,13289,643,73986
Rajanna Sircilla,346,22138,82,7226,207,38406,20,10425,655,78195
Narayanapet,356,27546,160,24062,132,44321,15,7153,663,103082
Wanaparthy,369,22049,137,12967,194,47664,10,5432,710,88112
Peddapalli,376,18542,144,12696,226,55068,23,12119,769,98425
Hanumakonda,335,20965,155,10394,378,87684,26,13790,894,132833
Yadadri Bhuvanagiri,495,27185,128,10784,273,61311,25,13220,921,112500
Karimnagar,444,22838,167,13548,365,89630,38,20904,1014,146920
Warangal,508,23223,174,12985,331,73793,21,10892,1034,120893
Nirmal,596,31129,206,23954,229,62202,19,9270,1050,126555
Medak,637,36443,183,20680,216,56970,26,13613,1062,127706
Mancherial,594,22490,179,15103,265,64702,27,13886,1065,116181
Nagarkurnool,631,32238,215,25171,238,64034,22,9206,1106,130649
Jagtial,529,35003,237,24589,329,72061,27,14979,1122,146632
Mahabubnagar,651,36161,206,23415,284,84280,21,9122,1162,152978
Mahabubabad,797,28673,172,13700,211,48681,32,16090,1212,107144
Kamareddy,715,45011,218,25739,279,66919,45,21396,1257,159065
Kumuram Bheem,908,27030,191,19796,145,40583,24,9673,1268,97082
Siddipet,658,44764,199,19564,374,80069,39,21097,1270,165494
Suryapet,713,36629,178,16573,348,71202,35,18847,1274,143251
Vikarabad,800,45770,204,20527,291,72432,28,14897,1323,153626
Adilabad,989,38511,188,20435,234,68031,28,12101,1439,139078
Khammam,872,49706,288,21921,428,105980,41,19923,1629,197530
Bhadradri Kothagudem,1092,43055,247,19090,308,86442,28,10139,1675,158726
Nizamabad,820,60558,365,41759,523,153123,52,25991,1760,281431
Sangareddy,896,3090,371,43406,461,158912,39,20998,1767,286406
Medchal-Malkajgiri,412,49930,563,74827,1051,472837,19,26509,2045,624103
Nalgonda,1207,62114,293,31402,510,122952,45,26658,2055,243126
Rangareddy,952,78658,762,104623,1108,459659,56,42733,2878,685673
Hyderabad,666,91405,687,93169,1553,615869,23,26193,2929,826636
